trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
765,False,"{'a': 0.4, 'e': 0.23499999999999932}",25,14,17.978388753053046,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
766,False,"{'a': 0.4, 'e': 0.23399999999999932}",20,9,1.918320255405079,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
767,False,"{'a': 0.4, 'e': 0.23299999999999932}",20,14,13.26447121189793,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
768,False,"{'a': 0.4, 'e': 0.23199999999999932}",30,20,15.593976820213012,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
769,False,"{'a': 0.4, 'e': 0.23099999999999932}",20,10,9.399490402419747,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
770,False,"{'a': 0.4, 'e': 0.22999999999999932}",25,15,-6.0224756402418445,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
771,False,"{'a': 0.4, 'e': 0.22899999999999932}",20,14,-31.49333712578175,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
772,False,"{'a': 0.4, 'e': 0.22799999999999931}",25,12,22.30479309574436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
773,False,"{'a': 0.4, 'e': 0.2269999999999993}",25,13,-66.50212804221236,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
774,False,"{'a': 0.4, 'e': 0.2259999999999993}",25,2,25.920076617916926,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
775,False,"{'a': 0.4, 'e': 0.2249999999999993}",30,0,24.95136290745334,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
776,False,"{'a': 0.4, 'e': 0.2239999999999993}",20,5,-25.580265761156724,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
777,False,"{'a': 0.4, 'e': 0.2229999999999993}",25,20,10.263436851969333,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
778,False,"{'a': 0.4, 'e': 0.2219999999999993}",25,2,8.457617451325369,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
779,False,"{'a': 0.4, 'e': 0.2209999999999993}",20,11,17.31657270909576,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
780,False,"{'a': 0.4, 'e': 0.2199999999999993}",25,15,4.8258393577644,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
781,False,"{'a': 0.4, 'e': 0.2189999999999993}",20,0,-56.67128934370522,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
